brand,type,msoffice,RAM,SSDCap,HDDCap,GPU,OS,Touchscreen,refreshrate,Weight,BacklitKB,warranty,price,PPI,Processor
HP,Gaming Laptop,1,16,512,0,NVIDIA GeForce GTX 1650,Windows 11 Home,0,144,2.48,1,1,58990.0,136.82653230324834,Intel Core i5
ASUS,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.8,0,1,31990.0,141.21199808219862,Intel Core i3
HP,Thin and Light Laptop,1,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.69,1,1,53990.0,141.21199808219862,Intel Core i5
ZEBRONICS,Thin and Light Laptop,0,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.76,0,1,25990.0,141.21199808219862,Intel Core i3
ZEBRONICS,Thin and Light Laptop,0,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.76,0,1,25990.0,141.21199808219862,Intel Core i3
Lenovo,Thin and Light Laptop,1,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.35,1,1,65190.0,188.67962264113206,Intel Core i5
Acer,Thin and Light Laptop,0,16,1024,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.59,0,1,38849.0,141.21199808219862,AMD Ryzen 5 Hexa Core
HP,Thin and Light Laptop,1,8,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.69,1,1,47980.0,141.21199808219862,Intel Core i5
HP,Gaming Laptop,0,16,512,0,NVIDIA GeForce RTX 3050,Windows 11 Home,0,60,2.37,1,1,59990.0,141.21199808219862,AMD Ryzen 5 Hexa Core
Apple,Thin and Light Laptop,0,8,512,0,NIL,Mac OS Monterey,0,60,1.24,1,1,119900.0,224.5056083176765,Apple M2
HP,Thin and Light Laptop,1,8,512,0,Intel Integrated Graphics,Windows 11 Home,0,60,1.75,1,1,54990.0,141.21199808219862,Intel Core i5
Infinix,Thin and Light Laptop,0,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.76,1,1,27990.0,141.21199808219862,Intel Core i5
MSI,Thin and Light Laptop,0,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.4,1,1,64990.0,157.3505121487356,Intel Core i7
Lenovo,Thin and Light Laptop,0,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.7,1,1,39990.0,141.21199808219862,AMD Ryzen 7 Octa Core
